=== Nodo: host06 ===
CPUs: 16   Mem: 16384   Time: 'n/d'
Contenedor: /mnt/beegfs/home/mdroguett/Memoria/Evaluaci-n-Num-rica-de-la-Conjetura-de-Oertel-para-el-caso-unidimensional/ortel.sif
=========================
=== Lanzando experimentos seedless con 16 workers ===
Z=[0, 1, 2] | D=2 | N=300000 | N_cp=100 | N_hip=1000 | thr=0.18

>>> n_point=5 — 100 réplicas
[PROG] n_point=11: 3/50 (ok=0, err=3)
[PROG] n_point=11: 4/50 (ok=0, err=4)
[PROG] n_point=11: 5/50 (ok=0, err=5)
[PROG] n_point=11: 6/50 (ok=0, err=6)
[PROG] n_point=11: 7/50 (ok=0, err=7)
[PROG] n_point=11: 8/50 (ok=0, err=8)
[PROG] n_point=11: 9/50 (ok=0, err=9)
[PROG] n_point=11: 10/50 (ok=0, err=10)
[PROG] n_point=11: 11/50 (ok=0, err=11)
[PROG] n_point=11: 12/50 (ok=0, err=12)
[PROG] n_point=11: 13/50 (ok=0, err=13)
[PROG] n_point=11: 14/50 (ok=0, err=14)
[PROG] n_point=11: 15/50 (ok=0, err=15)
[PROG] n_point=11: 16/50 (ok=0, err=16)
[PROG] n_point=11: 17/50 (ok=0, err=17)
[PROG] n_point=11: 18/50 (ok=0, err=18)
[PROG] n_point=11: 19/50 (ok=0, err=19)
[PROG] n_point=11: 20/50 (ok=0, err=20)
[PROG] n_point=11: 21/50 (ok=0, err=21)
[PROG] n_point=11: 22/50 (ok=0, err=22)
[PROG] n_point=11: 23/50 (ok=0, err=23)
[PROG] n_point=11: 24/50 (ok=0, err=24)
[PROG] n_point=11: 25/50 (ok=0, err=25)
[PROG] n_point=11: 26/50 (ok=0, err=26)
[PROG] n_point=11: 27/50 (ok=0, err=27)
[PROG] n_point=11: 28/50 (ok=0, err=28)
[PROG] n_point=11: 29/50 (ok=0, err=29)
[PROG] n_point=11: 30/50 (ok=0, err=30)
[PROG] n_point=11: 31/50 (ok=0, err=31)
[PROG] n_point=11: 32/50 (ok=0, err=32)
[PROG] n_point=11: 33/50 (ok=0, err=33)
[PROG] n_point=11: 34/50 (ok=0, err=34)
[PROG] n_point=11: 35/50 (ok=0, err=35)
[PROG] n_point=11: 36/50 (ok=0, err=36)
[PROG] n_point=11: 37/50 (ok=0, err=37)
[PROG] n_point=11: 38/50 (ok=0, err=38)
[PROG] n_point=11: 39/50 (ok=0, err=39)
[PROG] n_point=11: 40/50 (ok=0, err=40)
[PROG] n_point=11: 41/50 (ok=0, err=41)
[PROG] n_point=11: 42/50 (ok=0, err=42)
[PROG] n_point=11: 43/50 (ok=0, err=43)
[PROG] n_point=11: 44/50 (ok=0, err=44)
[PROG] n_point=11: 45/50 (ok=0, err=45)
[PROG] n_point=11: 46/50 (ok=0, err=46)
[PROG] n_point=11: 47/50 (ok=0, err=47)
[PROG] n_point=11: 48/50 (ok=0, err=48)
[PROG] n_point=11: 49/50 (ok=0, err=49)
[PROG] n_point=11: 50/50 (ok=0, err=50)
[DONE] n_point=11: ok=0, err=50

>>> n_point=15 — 25 réplicas
[PROG] n_point=15: 1/25 (ok=0, err=1)
[PROG] n_point=15: 2/25 (ok=0, err=2)
[PROG] n_point=15: 3/25 (ok=0, err=3)
[PROG] n_point=15: 4/25 (ok=0, err=4)
[PROG] n_point=15: 5/25 (ok=0, err=5)
[PROG] n_point=15: 6/25 (ok=0, err=6)
[PROG] n_point=15: 7/25 (ok=0, err=7)
[PROG] n_point=15: 8/25 (ok=0, err=8)
[PROG] n_point=15: 9/25 (ok=0, err=9)
[PROG] n_point=15: 10/25 (ok=0, err=10)
[PROG] n_point=15: 11/25 (ok=0, err=11)
[PROG] n_point=15: 12/25 (ok=0, err=12)
[PROG] n_point=15: 13/25 (ok=0, err=13)
[PROG] n_point=15: 14/25 (ok=0, err=14)
[PROG] n_point=15: 15/25 (ok=0, err=15)
[PROG] n_point=15: 16/25 (ok=0, err=16)
[PROG] n_point=15: 17/25 (ok=0, err=17)
[PROG] n_point=15: 18/25 (ok=0, err=18)
[PROG] n_point=15: 19/25 (ok=0, err=19)
[PROG] n_point=15: 20/25 (ok=0, err=20)
[PROG] n_point=15: 21/25 (ok=0, err=21)
[PROG] n_point=15: 22/25 (ok=0, err=22)
[PROG] n_point=15: 23/25 (ok=0, err=23)
[PROG] n_point=15: 24/25 (ok=0, err=24)
[PROG] n_point=15: 25/25 (ok=0, err=25)
[DONE] n_point=15: ok=0, err=25

>>> n_point=20 — 25 réplicas
[PROG] n_point=20: 1/25 (ok=0, err=1)
[PROG] n_point=20: 2/25 (ok=0, err=2)
[PROG] n_point=20: 3/25 (ok=0, err=3)
[PROG] n_point=20: 4/25 (ok=0, err=4)
[PROG] n_point=20: 5/25 (ok=0, err=5)
[PROG] n_point=20: 6/25 (ok=0, err=6)
[PROG] n_point=20: 7/25 (ok=0, err=7)
[PROG] n_point=20: 8/25 (ok=0, err=8)
[PROG] n_point=20: 9/25 (ok=0, err=9)
[PROG] n_point=20: 10/25 (ok=0, err=10)
[PROG] n_point=20: 11/25 (ok=0, err=11)
[PROG] n_point=20: 12/25 (ok=0, err=12)
[PROG] n_point=20: 13/25 (ok=0, err=13)
[PROG] n_point=20: 14/25 (ok=0, err=14)
[PROG] n_point=20: 15/25 (ok=0, err=15)
[PROG] n_point=20: 16/25 (ok=0, err=16)
[PROG] n_point=20: 17/25 (ok=0, err=17)
[PROG] n_point=20: 18/25 (ok=0, err=18)
[PROG] n_point=20: 19/25 (ok=0, err=19)
[PROG] n_point=20: 20/25 (ok=0, err=20)
[PROG] n_point=20: 21/25 (ok=0, err=21)
[PROG] n_point=20: 22/25 (ok=0, err=22)
[PROG] n_point=20: 23/25 (ok=0, err=23)
[PROG] n_point=20: 24/25 (ok=0, err=24)
[PROG] n_point=20: 25/25 (ok=0, err=25)
[DONE] n_point=20: ok=0, err=25

=== TODO COMPLETADO ===
=== FIN OK ===
